"player_id","team_id","general_position","minutes_played","shots","shots_on_target","goals","xgoals","xplace","goals_minus_xgoals","key_passes","primary_assists","xassists","primary_assists_minus_xassists","goals_plus_primary_assists","xgoals_plus_xassists","points_added","xpoints_added","player_name","birth_date","weight_lb","nationality","season_name","primary_broad_position","primary_general_position","secondary_general_position","secondary_broad_position","height_cm"
"0Oq60APM6D","kRQabn8MKZ, 0KPqjA456v, Vj58weDM8n","CB",9774,4,0,0,0.5459,-0.5459,-0.5459,11,0,0.8302,-0.8302,0,1.3761,0,0.3505,"Jason Hernandez","1983-08-26",172,"USA","2013, 2014, 2015, 2016, 2017, 2018","DF","CB","FB","DF",180
"0Oq60VgM6D","KAqBN0Vqbg, kaDQ0wRqEv, X0Oq66zq6D","DM",20303,196,57,19,22.4174,-3.693,-3.4174,72,9,6.5441,2.4559,28,28.9615,9.5505,14.3498,"Jeff Larentowicz","1983-08-05",176,"USA","2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020","MF","DM","CM","MF",185
"0Oq624oPq6","jYQJ19EqGR","FB",416,3,1,1,0.3927,0.1346,0.6073,1,0,0.0389,-0.0389,1,0.4315,0.4386,0.1373,"Kalani Kossa-Rienzi","2002-06-27",150,"USA","2024, 2025","DF","FB","WB","DF",172
"0Oq630dXQ6","kaDQ0wRqEv, pzeQZ6xQKw","W",7511,143,64,13,23.9219,-2.4367,-10.9219,67,6,8.693,-2.693,19,32.6149,9.703,15.445,"Kévin Cabral","1999-07-10",154,"France","2021, 2022, 2023, 2024, 2025","MF","W","ST","FW",173
"0Oq632k7Q6","pzeQZ6xQKw, jYQJ19EqGR","CM",3961,40,7,0,1.5246,0.0078,-1.5246,49,1,3.375,-2.375,1,4.8996,0,0.8825,"Danny Leyva","2003-05-05",139,"USA","2019, 2020, 2021, 2022, 2023, 2024, 2025","MF","CM","DM","MF",177
"0Oq633dAQ6","EKXMeX3Q64","W",1112,16,9,3,0.9513,0.1589,2.0487,9,1,1.2744,-0.2744,4,2.2257,2.0103,0.4626,"Griffin Yow","2002-09-25",141,"USA","2019, 2020, 2021, 2022","MF","W","ST","FW",172
"0Oq633E7Q6","jYQJ8EW5GR","CB",172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abdi Salim","2001-04-01",180,"USA","2023","DF","CB","FB","DF",186
"0Oq63DL6Q6","jYQJ19EqGR","FB",1371,2,0,0,0.0337,-0.0337,-0.0337,10,1,1.2036,-0.2036,1,1.2374,0,0.0242,"Cody Baker","2004-01-07",154,"USA","2023, 2024, 2025","DF","FB","WB","DF",177
"0Oq63JA7Q6","kRQand1MKZ, 19vQ2095K6, X0Oq66zq6D","CB",4641,19,4,1,1.6891,-0.6799,-0.6891,9,1,1.2228,-0.2228,2,2.9119,0.5318,1.098,"Wyatt Omsberg","1995-09-21",181,"USA","2018, 2020, 2021, 2022, 2023, 2024, 2025","DF","CB","FB","DF",193
"0Oq63lbzQ6","kRQabn8MKZ","FB",565,3,1,0,0.2426,-0.1323,-0.2426,2,0,0.1179,-0.1179,0,0.3605,0,0.2573,"Themi Antonoglou","2001-06-02",126,"Canada","2022, 2023","DF","FB","WB","DF",167
"0Oq63n7Q6D","mKAqBBmqbg","ST",499,16,4,0,1.1061,-0.2347,-1.1061,4,1,0.5658,0.4342,1,1.672,0,0.7869,"Eric Hassli","1981-05-03",201,"France","2013","FW","ST","W","FW",193
"0Oq63oxzQ6","KAqBN0Vqbg","FB",693,5,1,0,0.1882,-0.1689,-0.1882,9,0,1.3163,-1.3163,0,1.5045,0,0.1385,"Aiden McFadden","1998-09-28",165,"USA","2022","DF","FB","WB","DF",175
"0Oq63P32Q6","eVq3ya6MWO, mKAqBBmqbg","CB",9670,51,15,7,3.4122,0.5504,3.5878,22,3,2.6305,0.3695,10,6.0427,5.7814,2.741,"Nkosi Tafari","1997-03-23",185,"USA","2021, 2022, 2023, 2024, 2025","DF","CB","FB","DF",193
"0Oq63Ym2Q6","19vQ2095K6","FB",1587,10,2,0,0.6262,-0.2447,-0.6262,7,0,0.7837,-0.7837,0,1.4099,0,0.2187,"Ryan Spaulding","1998-09-10",165,"USA","2022, 2023, 2024","DF","FB","WB","DF",172
"0Oq63YndQ6","zeQZBOzQKw","ST",607,12,5,2,2.521,-1.1913,-0.521,9,2,1.1575,0.8425,4,3.6785,1.2452,1.5089,"Onni Valakari","1999-08-18",168,"Finland","2025","FW","ST","W","FW",187
"0Oq6712Q6D","NPqxKXZ59d","DM",7505,28,6,6,2.0232,1.0623,3.9768,98,8,8.9876,-0.9876,14,11.0108,2.9389,1.3334,"Ashley Westwood","1990-04-01",176,"England","2023, 2024, 2025","MF","DM","CM","MF",175
"0Oq67EgQ6D","Z2vQ1xlqrA, gpMOLwl5zy","CB",21391,26,2,1,2.0527,-1.1943,-1.0527,103,10,12.0999,-2.0999,11,14.1525,0.0925,0.9,"Matt Besler","1987-02-11",172,"USA","2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021","DF","CB","FB","DF",182
"0Oq67k7Q6D","jYQJ19EqGR, 4wM42l4qjB","ST",1328,35,8,2,1.8027,-0.416,0.1973,13,1,1.6814,-0.6814,3,3.4841,1.2273,1.0476,"Tristan Bowen","1991-01-31",172,"USA","2013, 2014","FW","ST","W","FW",180
"0Oq67xxQ6D","0KPqjA456v, a2lqRX2Mr0","FB",2981,14,3,0,0.5591,0.5921,-0.5591,21,3,2.1115,0.8885,3,2.6705,0,0.554,"Brandon Barklage","1986-11-02",165,"USA","2013, 2014","DF","FB","WB","DF",180
"0Oq6aoX56D","mvzqoLZQap","W",1047,17,8,2,2.0358,0.75,-0.0358,16,1,1.6034,-0.6034,3,3.6392,1.6874,1.3651,"Cedrick","1992-03-08",137,"DR Congo","2015, 2016","MF","W","ST","FW",167
"0Oq6bAPq6D","kaDQ0wRqEv","W",3038,86,26,7,5.446,0.2793,1.554,69,8,6.9177,1.0823,15,12.3637,4.8713,3.501,"Douglas Costa","1990-09-14",154,"Brazil","2022, 2023","MF","W","ST","FW",172
"0Oq6ebd56D","jYQJ19EqGR, pzeQZ6xQKw","W",4913,140,52,11,6.8708,1.428,4.1292,103,13,9.8585,3.1415,24,16.7293,3.2201,3.7813,"Marco Pappa","1987-11-15",157,"Guatemala","2014, 2015, 2016","MF","W","ST","FW",177
